tweets,category,dates,address,newaddress,lattitude,longitude,coordinates
"VANDALISM - COLD at 4800 NE 103RD AVE, PORT [Portland Police #PP21000358684] 21:33 #pdx911, 2021-12-26 06:02:02+00:00",VANDALISM - COLD , 2021-12-26 06:02:02+00:00, 4800 NE 103RD AVE," 4800 NE 103RD AVE, Portland, OR",45.55784787919463,-122.55662898657718,"-122.55662898657718, 45.55784787919463"
"VANDALISM - COLD at 7100 N VANCOUVER AVE, PORT [Portland Police #PP21000358707] 21:40 #pdx911, 2021-12-26 06:00:01+00:00",VANDALISM - COLD , 2021-12-26 06:00:01+00:00, 7100 N VANCOUVER AVE," 7100 N VANCOUVER AVE, Portland, OR",45.574548,-122.668538,"-122.668538, 45.574548"
"DISTURBANCE - PRIORITY at 12000 SE ASH ST, PORT [Portland Police #PP21000358733] 21:49 #pdx911, 2021-12-26 06:00:01+00:00",DISTURBANCE - PRIORITY , 2021-12-26 06:00:01+00:00, 12000 SE ASH ST," 12000 SE ASH ST, Portland, OR",45.52099427479367,-122.53940161583418,"-122.53940161583418, 45.52099427479367"
"AREA CHECK at 2700 SE 119TH AVE, PORT [Portland Police #PP21000358727] 21:48 #pdx911, 2021-12-26 05:58:01+00:00",AREA CHECK , 2021-12-26 05:58:01+00:00, 2700 SE 119TH AVE," 2700 SE 119TH AVE, Portland, OR",45.50230445,-122.540561354813,"-122.540561354813, 45.50230445"
"VEHICLE STOLEN - COLD at 100 SW HARRISON ST, PORT [Portland Police #PP21000358691] 20:53 #pdx911, 2021-12-26 05:57:02+00:00",VEHICLE STOLEN - COLD , 2021-12-26 05:57:02+00:00, 100 SW HARRISON ST," 100 SW HARRISON ST, Portland, OR",45.509742,-122.678214,"-122.678214, 45.509742"
"BURGLARY - PRIORITY *H at 1200 NE 109TH AVE, PORT [Portland Police #PP21000358717] 21:21 #pdx911, 2021-12-26 05:54:01+00:00",BURGLARY - PRIORITY *H , 2021-12-26 05:54:01+00:00, 1200 NE 109TH AVE," 1200 NE 109TH AVE, Portland, OR",45.5314738449588,-122.55019948644018,"-122.55019948644018, 45.5314738449588"
"THREAT - PRIORITY at 4800 SE 65TH AVE, PORT [Portland Police #PP21000358728] 21:36 #pdx911, 2021-12-26 05:50:02+00:00",THREAT - PRIORITY , 2021-12-26 05:50:02+00:00, 4800 SE 65TH AVE," 4800 SE 65TH AVE, Portland, OR",45.48852428712871,-122.59580297029703,"-122.59580297029703, 45.48852428712871"
"UNWANTED PERSON at 100 N MORRIS ST, PORT [Portland Police #PP21000358668] 21:14 #pdx911, 2021-12-26 05:48:02+00:00",UNWANTED PERSON , 2021-12-26 05:48:02+00:00, 100 N MORRIS ST," 100 N MORRIS ST, Portland, OR",45.544556,-122.667352,"-122.667352, 45.544556"
"ASSAULT - COLD at 5900 NE HOYT ST, PORT [Portland Police #PP21000358667] 21:01 #pdx911, 2021-12-26 05:46:03+00:00",ASSAULT - COLD , 2021-12-26 05:46:03+00:00, 5900 NE HOYT ST," 5900 NE HOYT ST, Portland, OR",45.527133,-122.60306707692308,"-122.60306707692308, 45.527133"
"DISTURBANCE - PRIORITY at 3300 NE SANDY BLVD, PORT [Portland Police #PP21000358704] 21:05 #pdx911, 2021-12-26 05:36:01+00:00",DISTURBANCE - PRIORITY , 2021-12-26 05:36:01+00:00, 3300 NE SANDY BLVD," 3300 NE SANDY BLVD, Portland, OR",45.531698,-122.630428,"-122.630428, 45.531698"
"ACCIDENT - INJURY at 11400 SW BARBUR BLVD, PORT [Portland Police #PP21000358607] 18:46 #pdx911, 2021-12-26 05:30:02+00:00",ACCIDENT - INJURY , 2021-12-26 05:30:02+00:00, 11400 SW BARBUR BLVD," 11400 SW BARBUR BLVD, Portland, OR",45.5050167,-122.6820107,"-122.6820107, 45.5050167"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 6400 SE 138TH PL, PORT [Portland Police #PP21000358687] 21:12 #pdx911, 2021-12-26 05:30:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-26 05:30:02+00:00, 6400 SE 138TH PL," 6400 SE 138TH PL, Portland, OR",45.476169,-122.521625,"-122.521625, 45.476169"
"DISTURBANCE - PRIORITY at 3600 SE 40TH AVE, PORT [Portland Police #PP21000358663] 20:01 #pdx911, 2021-12-26 05:28:02+00:00",DISTURBANCE - PRIORITY , 2021-12-26 05:28:02+00:00, 3600 SE 40TH AVE," 3600 SE 40TH AVE, Portland, OR",45.496701683417086,-122.62064401005026,"-122.62064401005026, 45.496701683417086"
"DISTURBANCE - PRIORITY at 700 NE 90TH AVE, PORT [Portland Police #PP21000358688] 20:35 #pdx911, 2021-12-26 05:28:02+00:00",DISTURBANCE - PRIORITY , 2021-12-26 05:28:02+00:00, 700 NE 90TH AVE," 700 NE 90TH AVE, Portland, OR",45.527885,-122.571187,"-122.571187, 45.527885"
"ASSAULT - PRIORITY at 3900 N MONTANA AVE, PORT [Portland Police #PP21000358690] 20:39 #pdx911, 2021-12-26 05:27:01+00:00",ASSAULT - PRIORITY , 2021-12-26 05:27:01+00:00, 3900 N MONTANA AVE," 3900 N MONTANA AVE, Portland, OR",45.55097,-122.679716,"-122.679716, 45.55097"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 4300 SE WOODSTOCK BLVD, PORT [Portland Police #PP21000358714] 21:16 #pdx911, 2021-12-26 05:20:01+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-26 05:20:01+00:00, 4300 SE WOODSTOCK BLVD," 4300 SE WOODSTOCK BLVD, Portland, OR",45.479096,-122.618308,"-122.618308, 45.479096"
"DISTURBANCE - PRIORITY at 200 NE IVY ST, PORT [Portland Police #PP21000358702] 21:01 #pdx911, 2021-12-26 05:18:01+00:00",DISTURBANCE - PRIORITY , 2021-12-26 05:18:01+00:00, 200 NE IVY ST," 200 NE IVY ST, Portland, OR",45.54738702013423,-122.66319320134228,"-122.66319320134228, 45.54738702013423"
"THEFT - COLD at 700 SW BROADWAY , PORT [Portland Police #PP21000358672] 20:51 #pdx911, 2021-12-26 05:16:02+00:00",THEFT - COLD , 2021-12-26 05:16:02+00:00, 700 SW BROADWAY ," 700 SW BROADWAY , Portland, OR",45.519177,-122.679583,"-122.679583, 45.519177"
"DISTURBANCE - PRIORITY at 8400 N CHAUTAUQUA BLVD, PORT [Portland Police #PP21000358676] 20:16 #pdx911, 2021-12-26 05:14:02+00:00",DISTURBANCE - PRIORITY , 2021-12-26 05:14:02+00:00, 8400 N CHAUTAUQUA BLVD," 8400 N CHAUTAUQUA BLVD, Portland, OR",45.584157,-122.707817,"-122.707817, 45.584157"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 5800 SE 88TH AVE, PORT [Portland Police #PP21000358692] 21:05 #pdx911, 2021-12-26 05:14:01+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-26 05:14:01+00:00, 5800 SE 88TH AVE," 5800 SE 88TH AVE, Portland, OR",45.480699200000004,-122.57207892252708,"-122.57207892252708, 45.480699200000004"
"THEFT - PRIORITY at 7800 NE GLISAN ST, PORT [Portland Police #PP21000358674] 20:40 #pdx911, 2021-12-26 05:12:01+00:00",THEFT - PRIORITY , 2021-12-26 05:12:01+00:00, 7800 NE GLISAN ST," 7800 NE GLISAN ST, Portland, OR",45.526349,-122.583339,"-122.583339, 45.526349"
"VEHICLE STOLEN - COLD at 3500 NE COUCH ST, PORT [Portland Police #PP21000358574] 20:43 #pdx911, 2021-12-26 05:10:01+00:00",VEHICLE STOLEN - COLD , 2021-12-26 05:10:01+00:00, 3500 NE COUCH ST," 3500 NE COUCH ST, Portland, OR",45.52356857687829,-122.62724261132172,"-122.62724261132172, 45.52356857687829"
"AREA CHECK at 4200 SE 12TH AVE, PORT [Portland Police #PP21000358651] 20:55 #pdx911, 2021-12-26 05:09:02+00:00",AREA CHECK , 2021-12-26 05:09:02+00:00, 4200 SE 12TH AVE," 4200 SE 12TH AVE, Portland, OR",45.492897,-122.653067,"-122.653067, 45.492897"
"THREAT - COLD at 100 NE DEKUM ST, PORT [Portland Police #PP21000358585] 20:46 #pdx911, 2021-12-26 05:04:01+00:00",THREAT - COLD , 2021-12-26 05:04:01+00:00, 100 NE DEKUM ST," 100 NE DEKUM ST, Portland, OR",45.571705,-122.66415,"-122.66415, 45.571705"
"UNWANTED PERSON at 2200 W BURNSIDE ST, PORT [Portland Police #PP21000358666] 20:24 #pdx911, 2021-12-26 05:00:02+00:00",UNWANTED PERSON , 2021-12-26 05:00:02+00:00, 2200 W BURNSIDE ST," 2200 W BURNSIDE ST, Portland, OR",45.523236,-122.696489,"-122.696489, 45.523236"
"UNWANTED PERSON at 8100 SE FOSTER RD, PORT [Portland Police #PP21000358680] 20:47 #pdx911, 2021-12-26 05:00:02+00:00",UNWANTED PERSON , 2021-12-26 05:00:02+00:00, 8100 SE FOSTER RD," 8100 SE FOSTER RD, Portland, OR",45.48312439063368,-122.5800543839143,"-122.5800543839143, 45.48312439063368"
"SUSPICIOUS - WITH WEAPON *H at 4600 SE CESAR E CHAVEZ BLVD, PORT [Portland Police #PP21000358679] 20:19 #pdx911, 2021-12-26 04:58:02+00:00",SUSPICIOUS - WITH WEAPON *H , 2021-12-26 04:58:02+00:00, 4600 SE CESAR E CHAVEZ BLVD," 4600 SE CESAR E CHAVEZ BLVD, Portland, OR",45.489521868661406,-122.62272867508638,"-122.62272867508638, 45.489521868661406"
"ACCIDENT - NON INJURY at 700 SE 106TH AVE, PORT [Portland Police #PP21000358678] 20:17 #pdx911, 2021-12-26 04:54:02+00:00",ACCIDENT - NON INJURY , 2021-12-26 04:54:02+00:00, 700 SE 106TH AVE," 700 SE 106TH AVE, Portland, OR",45.51747445,-122.55368721088382,"-122.55368721088382, 45.51747445"
"VEHICLE STOLEN - COLD at 5000 N MICHIGAN AVE, PORT [Portland Police #PP21000358589] 20:20 #pdx911, 2021-12-26 04:50:03+00:00",VEHICLE STOLEN - COLD , 2021-12-26 04:50:03+00:00, 5000 N MICHIGAN AVE," 5000 N MICHIGAN AVE, Portland, OR",45.559122,-122.676914,"-122.676914, 45.559122"
"UNWANTED PERSON at 4200 SE WOODSTOCK BLVD, PORT [Portland Police #PP21000358658] 20:41 #pdx911, 2021-12-26 04:50:02+00:00",UNWANTED PERSON , 2021-12-26 04:50:02+00:00, 4200 SE WOODSTOCK BLVD," 4200 SE WOODSTOCK BLVD, Portland, OR",45.479098,-122.619241,"-122.619241, 45.479098"
"THEFT - COLD at 4200 SE WOODSTOCK BLVD, PORT [Portland Police #PP21000358652] 20:46 #pdx911, 2021-12-26 04:50:02+00:00",THEFT - COLD , 2021-12-26 04:50:02+00:00, 4200 SE WOODSTOCK BLVD," 4200 SE WOODSTOCK BLVD, Portland, OR",45.479098,-122.619241,"-122.619241, 45.479098"
"DISTURBANCE - PRIORITY at 800 NE 81ST AVE, PORT [Portland Police #PP21000358671] 20:11 #pdx911, 2021-12-26 04:44:01+00:00",DISTURBANCE - PRIORITY , 2021-12-26 04:44:01+00:00, 800 NE 81ST AVE," 800 NE 81ST AVE, Portland, OR",45.528502,-122.58,"-122.58, 45.528502"
"PREMISE CHECK at 9800 NE GLISAN ST, PORT [Portland Police #PP21000358685] 20:30 #pdx911, 2021-12-26 04:40:02+00:00",PREMISE CHECK , 2021-12-26 04:40:02+00:00, 9800 NE GLISAN ST," 9800 NE GLISAN ST, Portland, OR",45.52621753535354,-122.56278670707071,"-122.56278670707071, 45.52621753535354"
"THREAT - PRIORITY at 4400 NE MARTIN LUTHER KING JR BLVD, PORT [Portland Police #PP21000358587] 18:02 #pdx911, 2021-12-26 04:24:02+00:00",THREAT - PRIORITY , 2021-12-26 04:24:02+00:00, 4400 NE MARTIN LUTHER KING JR BLVD," 4400 NE MARTIN LUTHER KING JR BLVD, Portland, OR",45.55503248484849,-122.661419,"-122.661419, 45.55503248484849"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 6300 N LOMBARD ST, PORT [Portland Police #PP21000358669] 20:08 #pdx911, 2021-12-26 04:20:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-26 04:20:02+00:00, 6300 N LOMBARD ST," 6300 N LOMBARD ST, Portland, OR",45.5847641,-122.73105053048124,"-122.73105053048124, 45.5847641"
"DISTURBANCE - PRIORITY at 15000 SE LINCOLN ST, PORT [Portland Police #PP21000358656] 19:59 #pdx911, 2021-12-26 04:13:01+00:00",DISTURBANCE - PRIORITY , 2021-12-26 04:13:01+00:00, 15000 SE LINCOLN ST," 15000 SE LINCOLN ST, Portland, OR",45.50803,-122.507182,"-122.507182, 45.50803"
"THEFT - COLD at 14600 NE HALSEY ST, PORT [Portland Police #PP21000358644] 19:42 #pdx911, 2021-12-26 04:04:01+00:00",THEFT - COLD , 2021-12-26 04:04:01+00:00, 14600 NE HALSEY ST," 14600 NE HALSEY ST, Portland, OR",45.533583,-122.512805,"-122.512805, 45.533583"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 11600 NE GLENN WIDING DR, PORT [Portland Police #PP21000358655] 19:53 #pdx911, 2021-12-26 04:04:01+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-26 04:04:01+00:00, 11600 NE GLENN WIDING DR," 11600 NE GLENN WIDING DR, Portland, OR",45.567469,-122.53777,"-122.53777, 45.567469"
"UNWANTED PERSON at 1800 SE SCHILLER ST, PORT [Portland Police #PP21000358636] 19:30 #pdx911, 2021-12-26 04:00:02+00:00",UNWANTED PERSON , 2021-12-26 04:00:02+00:00, 1800 SE SCHILLER ST," 1800 SE SCHILLER ST, Portland, OR",45.487467,-122.647176,"-122.647176, 45.487467"
"SHOTS FIRED at 6600 NE HANCOCK CT, PORT [Portland Police #PP21000358509] 15:41 #pdx911, 2021-12-26 03:52:02+00:00",SHOTS FIRED , 2021-12-26 03:52:02+00:00, 6600 NE HANCOCK CT," 6600 NE HANCOCK CT, Portland, OR",45.536596,-122.595505,"-122.595505, 45.536596"
"UNWANTED PERSON at 3700 SE HAWTHORNE BLVD, PORT [Portland Police #PP21000358626] 19:19 #pdx911, 2021-12-26 03:52:02+00:00",UNWANTED PERSON , 2021-12-26 03:52:02+00:00, 3700 SE HAWTHORNE BLVD," 3700 SE HAWTHORNE BLVD, Portland, OR",45.511964,-122.62431,"-122.62431, 45.511964"
"SUSPICIOUS - PRIORITY at 400 SW 12TH AVE, PORT [Portland Police #PP21000358623] 19:11 #pdx911, 2021-12-26 03:46:01+00:00",SUSPICIOUS - PRIORITY , 2021-12-26 03:46:01+00:00, 400 SW 12TH AVE," 400 SW 12TH AVE, Portland, OR",45.52242,-122.683053,"-122.683053, 45.52242"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 1300 NW 22ND AVE, PORT [Portland Police #PP21000358642] 19:37 #pdx911, 2021-12-26 03:46:01+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-26 03:46:01+00:00, 1300 NW 22ND AVE," 1300 NW 22ND AVE, Portland, OR",45.532085,-122.696547,"-122.696547, 45.532085"
"VEHICLE STOLEN - COLD at 6000 SE HARNEY ST, PORT [Portland Police #PP21000358591] 18:07 #pdx911, 2021-12-26 03:40:02+00:00",VEHICLE STOLEN - COLD , 2021-12-26 03:40:02+00:00, 6000 SE HARNEY ST," 6000 SE HARNEY ST, Portland, OR",45.4618025,-122.6605608,"-122.6605608, 45.4618025"
"THREAT - COLD at 10400 SE LONG ST, PORT [Portland Police #PP21000358606] 19:30 #pdx911, 2021-12-26 03:38:02+00:00",THREAT - COLD , 2021-12-26 03:38:02+00:00, 10400 SE LONG ST," 10400 SE LONG ST, Portland, OR",45.487897,-122.555578,"-122.555578, 45.487897"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 12100 NE ERIN WAY, PORT [Portland Police #PP21000358639] 19:34 #pdx911, 2021-12-26 03:38:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-26 03:38:02+00:00, 12100 NE ERIN WAY," 12100 NE ERIN WAY, Portland, OR",45.558600006186154,-122.53916511267857,"-122.53916511267857, 45.558600006186154"
"UNWANTED PERSON at 1900 SW PARK AVE, PORT [Portland Police #PP21000358611] 19:00 #pdx911, 2021-12-26 03:20:02+00:00",UNWANTED PERSON , 2021-12-26 03:20:02+00:00, 1900 SW PARK AVE," 1900 SW PARK AVE, Portland, OR",45.510133,-122.68561,"-122.68561, 45.510133"
"ANIMAL PROBLEM at 3900 SE STARK ST, PORT [Portland Police #PP21000358621] 19:05 #pdx911, 2021-12-26 03:10:01+00:00",ANIMAL PROBLEM , 2021-12-26 03:10:01+00:00, 3900 SE STARK ST," 3900 SE STARK ST, Portland, OR",45.519206,-122.62283,"-122.62283, 45.519206"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 1900 SW PARK AVE, PORT [Portland Police #PP21000358583] 17:54 #pdx911, 2021-12-26 03:02:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-26 03:02:02+00:00, 1900 SW PARK AVE," 1900 SW PARK AVE, Portland, OR",45.510133,-122.68561,"-122.68561, 45.510133"
"BURGLARY - COLD at 300 NE MULTNOMAH ST, PORT [Portland Police #PP21000358492] 18:00 #pdx911, 2021-12-26 02:58:01+00:00",BURGLARY - COLD , 2021-12-26 02:58:01+00:00, 300 NE MULTNOMAH ST," 300 NE MULTNOMAH ST, Portland, OR",45.53138801593802,-122.66205846940983,"-122.66205846940983, 45.53138801593802"
"VEHICLE STOLEN - COLD at 4800 NE 32ND AVE, PORT [Portland Police #PP21000358435] 17:15 #pdx911, 2021-12-26 02:56:01+00:00",VEHICLE STOLEN - COLD , 2021-12-26 02:56:01+00:00, 4800 NE 32ND AVE," 4800 NE 32ND AVE, Portland, OR",45.557761,-122.632655,"-122.632655, 45.557761"
"DISTURBANCE - PRIORITY at 9700 NE EVERETT CT, PORT [Portland Police #PP21000358601] 18:29 #pdx911, 2021-12-26 02:48:02+00:00",DISTURBANCE - PRIORITY , 2021-12-26 02:48:02+00:00, 9700 NE EVERETT CT," 9700 NE EVERETT CT, Portland, OR",45.525175,-122.563384,"-122.563384, 45.525175"
"THREAT - PRIORITY at 9500 NE SANDY BLVD, PORT [Portland Police #PP21000358596] 18:12 #pdx911, 2021-12-26 02:39:01+00:00",THREAT - PRIORITY , 2021-12-26 02:39:01+00:00, 9500 NE SANDY BLVD," 9500 NE SANDY BLVD, Portland, OR",45.557987,-122.564656,"-122.564656, 45.557987"
"UNWANTED PERSON at 14700 SE DIVISION ST, PORT [Portland Police #PP21000358592] 18:12 #pdx911, 2021-12-26 02:27:02+00:00",UNWANTED PERSON , 2021-12-26 02:27:02+00:00, 14700 SE DIVISION ST," 14700 SE DIVISION ST, Portland, OR",45.5027581,-122.51209000613524,"-122.51209000613524, 45.5027581"
"UNWANTED PERSON at 3200 SE 152ND AVE, PORT [Portland Police #PP21000358560] 17:18 #pdx911, 2021-12-26 02:24:02+00:00",UNWANTED PERSON , 2021-12-26 02:24:02+00:00, 3200 SE 152ND AVE," 3200 SE 152ND AVE, Portland, OR",45.49908970707071,-122.50693102020202,"-122.50693102020202, 45.49908970707071"
"UNWANTED PERSON at 6800 N FESSENDEN ST, PORT [Portland Police #PP21000358594] 18:11 #pdx911, 2021-12-26 02:24:01+00:00",UNWANTED PERSON , 2021-12-26 02:24:01+00:00, 6800 N FESSENDEN ST," 6800 N FESSENDEN ST, Portland, OR",45.59266154545455,-122.73240672727273,"-122.73240672727273, 45.59266154545455"
"SHOTS FIRED at 5700 N CECELIA ST, PORT [Portland Police #PP21000358474] 14:29 #pdx911, 2021-12-26 02:16:01+00:00",SHOTS FIRED , 2021-12-26 02:16:01+00:00, 5700 N CECELIA ST," 5700 N CECELIA ST, Portland, OR",45.59267452525253,-122.72475004040403,"-122.72475004040403, 45.59267452525253"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 4900 SE 28TH AVE, PORT [Portland Police #PP21000358595] 18:11 #pdx911, 2021-12-26 02:16:01+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-26 02:16:01+00:00, 4900 SE 28TH AVE," 4900 SE 28TH AVE, Portland, OR",45.48744371428572,-122.63739242857143,"-122.63739242857143, 45.48744371428572"
"VEHICLE STOLEN - PRIORITY at 3500 SE 162ND AVE, PORT [Portland Police #PP21000358498] 17:17 #pdx911, 2021-12-26 02:12:02+00:00",VEHICLE STOLEN - PRIORITY , 2021-12-26 02:12:02+00:00, 3500 SE 162ND AVE," 3500 SE 162ND AVE, Portland, OR",45.497212,-122.496743,"-122.496743, 45.497212"
"ASSAULT - PRIORITY at 2300 SE 122ND AVE, PORT [Portland Police #PP21000358553] 17:05 #pdx911, 2021-12-26 01:56:02+00:00",ASSAULT - PRIORITY , 2021-12-26 01:56:02+00:00, 2300 SE 122ND AVE," 2300 SE 122ND AVE, Portland, OR",45.505883,-122.537553,"-122.537553, 45.505883"
"AREA CHECK at 10100 SE WASHINGTON ST, PORT [Portland Police #PP21000358497] 17:47 #pdx911, 2021-12-26 01:56:02+00:00",AREA CHECK , 2021-12-26 01:56:02+00:00, 10100 SE WASHINGTON ST," 10100 SE WASHINGTON ST, Portland, OR",45.51825068456375,-122.55910751006711,"-122.55910751006711, 45.51825068456375"
"VEHICLE STOLEN - COLD at 4000 SE DIVISION ST, PORT [Portland Police #PP21000358410] 17:18 #pdx911, 2021-12-26 01:54:02+00:00",VEHICLE STOLEN - COLD , 2021-12-26 01:54:02+00:00, 4000 SE DIVISION ST," 4000 SE DIVISION ST, Portland, OR",45.5047,-122.621292,"-122.621292, 45.5047"
"DISTURBANCE - PRIORITY at 15100 SE CARUTHERS ST, PORT [Portland Police #PP21000358567] 17:21 #pdx911, 2021-12-26 01:46:02+00:00",DISTURBANCE - PRIORITY , 2021-12-26 01:46:02+00:00, 15100 SE CARUTHERS ST," 15100 SE CARUTHERS ST, Portland, OR",45.505906900900904,-122.50775142342343,"-122.50775142342343, 45.505906900900904"
"BURGLARY - COLD at 200 NW 18TH AVE, PORT [Portland Police #PP21000358562] 17:27 #pdx911, 2021-12-26 01:46:01+00:00",BURGLARY - COLD , 2021-12-26 01:46:01+00:00, 200 NW 18TH AVE," 200 NW 18TH AVE, Portland, OR",45.524374,-122.689155,"-122.689155, 45.524374"
"UNWANTED PERSON at 2200 SE 89TH AVE, PORT [Portland Police #PP21000358524] 17:37 #pdx911, 2021-12-26 01:46:01+00:00",UNWANTED PERSON , 2021-12-26 01:46:01+00:00, 2200 SE 89TH AVE," 2200 SE 89TH AVE, Portland, OR",45.507017,-122.572134,"-122.572134, 45.507017"
"AREA CHECK at 0 SE MARTIN LUTHER KING JR BLVD, PORT [Portland Police #PP21000358545] 16:45 #pdx911, 2021-12-26 01:44:02+00:00",AREA CHECK , 2021-12-26 01:44:02+00:00, 0 SE MARTIN LUTHER KING JR BLVD," 0 SE MARTIN LUTHER KING JR BLVD, Portland, OR",45.5195101,-122.6617888,"-122.6617888, 45.5195101"
"UNWANTED PERSON at 2700 SE 85TH AVE, PORT [Portland Police #PP21000358551] 17:25 #pdx911, 2021-12-26 01:44:02+00:00",UNWANTED PERSON , 2021-12-26 01:44:02+00:00, 2700 SE 85TH AVE," 2700 SE 85TH AVE, Portland, OR",45.503197,-122.574758,"-122.574758, 45.503197"
"ACCIDENT - HIT AND RUN - COLD at 1500 SW 13TH AVE, PORT [Portland Police #PP21000358525] 16:34 #pdx911, 2021-12-26 01:42:01+00:00",ACCIDENT - HIT AND RUN - COLD , 2021-12-26 01:42:01+00:00, 1500 SW 13TH AVE," 1500 SW 13TH AVE, Portland, OR",45.515371,-122.687993,"-122.687993, 45.515371"
"THEFT - COLD at 3900 N MASSACHUSETTS AVE, PORT [Portland Police #PP21000358569] 17:35 #pdx911, 2021-12-26 01:40:02+00:00",THEFT - COLD , 2021-12-26 01:40:02+00:00, 3900 N MASSACHUSETTS AVE," 3900 N MASSACHUSETTS AVE, Portland, OR",45.550994,-122.681959,"-122.681959, 45.550994"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 400 S HAMILTON CT, PORT [Portland Police #PP21000358441] 16:59 #pdx911, 2021-12-26 01:36:01+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-26 01:36:01+00:00, 400 S HAMILTON CT," 400 S HAMILTON CT, Portland, OR",45.489821,-122.673556,"-122.673556, 45.489821"
"DISTURBANCE - PRIORITY at 11800 SE MADISON ST, PORT [Portland Police #PP21000358561] 17:14 #pdx911, 2021-12-26 01:34:02+00:00",DISTURBANCE - PRIORITY , 2021-12-26 01:34:02+00:00, 11800 SE MADISON ST," 11800 SE MADISON ST, Portland, OR",45.51315973770492,-122.54160634426229,"-122.54160634426229, 45.51315973770492"
"UNWANTED PERSON at 3500 NE 82ND AVE, PORT [Portland Police #PP21000358557] 17:10 #pdx911, 2021-12-26 01:30:02+00:00",UNWANTED PERSON , 2021-12-26 01:30:02+00:00, 3500 NE 82ND AVE," 3500 NE 82ND AVE, Portland, OR",45.548292849999996,-122.57847397516878,"-122.57847397516878, 45.548292849999996"
"THEFT - COLD at 700 SW 5TH AVE, PORT [Portland Police #PP21000358555] 17:17 #pdx911, 2021-12-26 01:30:02+00:00",THEFT - COLD , 2021-12-26 01:30:02+00:00, 700 SW 5TH AVE," 700 SW 5TH AVE, Portland, OR",45.518494,-122.6774738,"-122.6774738, 45.518494"
"PREMISE CHECK at 7400 N OSWEGO AVE, PORT [Portland Police #PP21000358530] 17:14 #pdx911, 2021-12-26 01:26:01+00:00",PREMISE CHECK , 2021-12-26 01:26:01+00:00, 7400 N OSWEGO AVE," 7400 N OSWEGO AVE, Portland, OR",45.58857,-122.749321,"-122.749321, 45.58857"
"UNWANTED PERSON at 3800 NE 82ND AVE, PORT [Portland Police #PP21000358550] 17:00 #pdx911, 2021-12-26 01:24:01+00:00",UNWANTED PERSON , 2021-12-26 01:24:01+00:00, 3800 NE 82ND AVE," 3800 NE 82ND AVE, Portland, OR",45.550306,-122.578593,"-122.578593, 45.550306"
"DISTURBANCE - PRIORITY at 7200 SE DUKE ST, PORT [Portland Police #PP21000358559] 17:11 #pdx911, 2021-12-26 01:22:02+00:00",DISTURBANCE - PRIORITY , 2021-12-26 01:22:02+00:00, 7200 SE DUKE ST," 7200 SE DUKE ST, Portland, OR",45.475799,-122.589169,"-122.589169, 45.475799"
"THEFT - COLD at 12400 SE MILL CT, PORT [Portland Police #PP21000358452] 17:19 #pdx911, 2021-12-26 01:22:02+00:00",THEFT - COLD , 2021-12-26 01:22:02+00:00, 12400 SE MILL CT," 12400 SE MILL CT, Portland, OR",45.510661299999995,-122.53560661845759,"-122.53560661845759, 45.510661299999995"
"UNWANTED PERSON at 14800 SE DIVISION ST, PORT [Portland Police #PP21000358542] 17:06 #pdx911, 2021-12-26 01:20:02+00:00",UNWANTED PERSON , 2021-12-26 01:20:02+00:00, 14800 SE DIVISION ST," 14800 SE DIVISION ST, Portland, OR",45.504136,-122.510419,"-122.510419, 45.504136"
"THREAT - COLD at 5200 SE TOLMAN ST, PORT [Portland Police #PP21000358488] 16:57 #pdx911, 2021-12-26 01:08:02+00:00",THREAT - COLD , 2021-12-26 01:08:02+00:00, 5200 SE TOLMAN ST," 5200 SE TOLMAN ST, Portland, OR",45.4774,-122.608544,"-122.608544, 45.4774"
